Caracter,Griego Antiguo,Griego Moderno
β,b,v
γ,g,g
δ,d,dh
ζ,z,z
θ,th,th
κ,k,k
λ,l,l
μ,m,m
ν,n,n
ξ,x,x
π,p,p
ρ,r,r
σ,s,s
ς,s,s
τ,t,t
φ,ph,f
χ,kh,ch
ψ,ps,ps
Β,b,v
Γ,g,g
Δ,d,dh
Ζ,z,z
Θ,th,th
Κ,k,k
Λ,l,l
Μ,m,m
Ν,n,n
Ξ,x,x
Π,p,p
Ρ,r,r
Σ,s,s
Τ,t,t
Φ,ph,f
Χ,kh,ch
Ψ,ps,ps
α,a,a
ἀ,a,a
ἁ,a,a
ά,a,a
ὰ,a,a
ᾶ,a,a
ᾳ,a,a
ἄ,a,a
ἅ,a,a
ᾇ,a,a
ε,e,e
ἐ,e,e
ἑ,e,e
έ,e,e
ὲ,e,e
ε͂,e,e
εͅ,e,e
ἔ,e,e
ἕ,e,e
ἑ͂ͅ,e,e
η,ē,ē
ἠ,ē,ē
ἡ,ē,ē
ή,ē,ē
ὴ,ē,ē
ῆ,ē,ē
ῃ,ē,ē
ἤ,ē,ē
ἥ,ē,ē
ᾗ,ē,ē
ι,i,i
ἰ,i,i
ἱ,i,i
ί,i,i
ὶ,i,i
ῖ,i,i
ιͅ,i,i
ἴ,i,i
ἵ,i,i
ἷͅ,i,i
ο,o,o
ὀ,o,o
ὁ,o,o
ό,o,o
ὸ,o,o
ο͂,o,o
οͅ,o,o
ὄ,o,o
ὅ,o,o
ὁ͂ͅ,o,o
υ,y,y
ὐ,y,y
ὑ,y,y
ύ,y,y
ὺ,y,y
ῦ,y,y
υͅ,y,y
ὔ,y,y
ὕ,y,y
ὗͅ,y,y
ω,ō,ō
ὠ,ō,ō
ὡ,ō,ō
ώ,ō,ō
ὼ,ō,ō
ῶ,ō,ō
ῳ,ō,ō
ὤ,ō,ō
ὥ,ō,ō
ᾧ,ō,ō
Α,A,A
Ἀ,A,A
Ἁ,A,A
Ά,A,A
Ὰ,A,A
Α͂,A,A
ᾼ,A,A
Ἄ,A,A
Ἅ,A,A
ᾏ,A,A
Ε,E,E
Ἐ,E,E
Ἑ,E,E
Έ,E,E
Ὲ,E,E
Ε͂,E,E
Εͅ,E,E
Ἔ,E,E
Ἕ,E,E
Ἑ͂ͅ,E,E
Η,Ē,Ē
Ἠ,Ē,Ē
Ἡ,Ē,Ē
Ή,Ē,Ē
Ὴ,Ē,Ē
Η͂,Ē,Ē
ῌ,Ē,Ē
Ἤ,Ē,Ē
Ἥ,Ē,Ē
ᾟ,Ē,Ē
Ι,I,I
Ἰ,I,I
Ἱ,I,I
Ί,I,I
Ὶ,I,I
Ι͂,I,I
Ιͅ,I,I
Ἴ,I,I
Ἵ,I,I
Ἷͅ,I,I
Ο,O,O
Ὀ,O,O
Ὁ,O,O
Ό,O,O
Ὸ,O,O
Ο͂,O,O
Οͅ,O,O
Ὄ,O,O
Ὅ,O,O
Ὁ͂ͅ,O,O
Υ,Y,Y
Υ̓,Y,Y
Ὑ,Y,Y
Ύ,Y,Y
Ὺ,Y,Y
Υ͂,Y,Y
Υͅ,Y,Y
Υ̓́,Y,Y
Ὕ,Y,Y
Ὗͅ,Y,Y
Ω,Ō,Ō
Ὠ,Ō,Ō
Ὡ,Ō,Ō
Ώ,Ō,Ō
Ὼ,Ō,Ō
Ω͂,Ō,Ō
ῼ,Ō,Ō
Ὤ,Ō,Ō
Ὥ,Ō,Ō
ᾯ,Ō,Ō
ρ,r,r
ῤ,r,r
ῥ,rh,rh
Ρ,R,R
Ῥ,Rh,Rh
᾽Ρ,Rh,Rh
