Griego (NFD),Latino (antiguo),Latino (moderno/Brill)
ᾳ,aͅ,aͅ
ὰ,à,à
ᾲ,àͅ,àͅ
ά,á,á
ᾴ,áͅ,áͅ
ᾶ,a͂,a͂
ᾷ,a͂ͅ,a͂ͅ
ἀ,a̓,a̓
ᾀ,a̓ͅ,a̓ͅ
ἂ,a̓̀,a̓̀
ᾂ,a̓̀ͅ,a̓̀ͅ
ἄ,a̓́,a̓́
ᾄ,a̓́ͅ,a̓́ͅ
ἆ,a̓͂,a̓͂
ᾆ,a̓͂ͅ,a̓͂ͅ
ἁ,a̔,a̔
ᾁ,a̔ͅ,a̔ͅ
ἃ,a̔̀,a̔̀
ᾃ,a̔̀ͅ,a̔̀ͅ
ἅ,a̔́,a̔́
ᾅ,a̔́ͅ,a̔́ͅ
ἇ,a̔͂,a̔͂
ᾇ,a̔͂ͅ,a̔͂ͅ
εͅ,eͅ,eͅ
ὲ,è,è
ὲͅ,èͅ,èͅ
έ,é,é
έͅ,éͅ,éͅ
ε͂,e͂,e͂
ε͂ͅ,e͂ͅ,e͂ͅ
ἐ,e̓,e̓
ἐͅ,e̓ͅ,e̓ͅ
ἒ,e̓̀,e̓̀
ἒͅ,e̓̀ͅ,e̓̀ͅ
ἔ,e̓́,e̓́
ἔͅ,e̓́ͅ,e̓́ͅ
ἐ͂,e̓͂,e̓͂
ἐ͂ͅ,e̓͂ͅ,e̓͂ͅ
ἑ,e̔,e̔
ἑͅ,e̔ͅ,e̔ͅ
ἓ,e̔̀,e̔̀
ἓͅ,e̔̀ͅ,e̔̀ͅ
ἕ,e̔́,e̔́
ἕͅ,e̔́ͅ,e̔́ͅ
ἑ͂,e̔͂,e̔͂
ἑ͂ͅ,e̔͂ͅ,e̔͂ͅ
ῃ,ēͅ,ēͅ
ὴ,ḕ,ḕ
ῂ,ḕͅ,ḕͅ
ή,ḗ,ḗ
ῄ,ḗͅ,ḗͅ
ῆ,ē͂,ē͂
ῇ,ē͂ͅ,ē͂ͅ
ἠ,ē̓,ē̓
ᾐ,ē̓ͅ,ē̓ͅ
ἢ,ē̓̀,ē̓̀
ᾒ,ē̓̀ͅ,ē̓̀ͅ
ἤ,ē̓́,ē̓́
ᾔ,ē̓́ͅ,ē̓́ͅ
ἦ,ē̓͂,ē̓͂
ᾖ,ē̓͂ͅ,ē̓͂ͅ
ἡ,ē̔,ē̔
ᾑ,ē̔ͅ,ē̔ͅ
ἣ,ē̔̀,ē̔̀
ᾓ,ē̔̀ͅ,ē̔̀ͅ
ἥ,ē̔́,ē̔́
ᾕ,ē̔́ͅ,ē̔́ͅ
ἧ,ē̔͂,ē̔͂
ᾗ,ē̔͂ͅ,ē̔͂ͅ
ιͅ,iͅ,iͅ
ὶ,ì,ì
ὶͅ,ìͅ,ìͅ
ί,í,í
ίͅ,íͅ,íͅ
ῖ,i͂,i͂
ῖͅ,i͂ͅ,i͂ͅ
ἰ,i̓,i̓
ἰͅ,i̓ͅ,i̓ͅ
ἲ,i̓̀,i̓̀
ἲͅ,i̓̀ͅ,i̓̀ͅ
ἴ,i̓́,i̓́
ἴͅ,i̓́ͅ,i̓́ͅ
ἶ,i̓͂,i̓͂
ἶͅ,i̓͂ͅ,i̓͂ͅ
ἱ,i̔,i̔
ἱͅ,i̔ͅ,i̔ͅ
ἳ,i̔̀,i̔̀
ἳͅ,i̔̀ͅ,i̔̀ͅ
ἵ,i̔́,i̔́
ἵͅ,i̔́ͅ,i̔́ͅ
ἷ,i̔͂,i̔͂
ἷͅ,i̔͂ͅ,i̔͂ͅ
οͅ,oͅ,oͅ
ὸ,ò,ò
ὸͅ,òͅ,òͅ
ό,ó,ó
όͅ,óͅ,óͅ
ο͂,o͂,o͂
ο͂ͅ,o͂ͅ,o͂ͅ
ὀ,o̓,o̓
ὀͅ,o̓ͅ,o̓ͅ
ὂ,o̓̀,o̓̀
ὂͅ,o̓̀ͅ,o̓̀ͅ
ὄ,o̓́,o̓́
ὄͅ,o̓́ͅ,o̓́ͅ
ὀ͂,o̓͂,o̓͂
ὀ͂ͅ,o̓͂ͅ,o̓͂ͅ
ὁ,o̔,o̔
ὁͅ,o̔ͅ,o̔ͅ
ὃ,o̔̀,o̔̀
ὃͅ,o̔̀ͅ,o̔̀ͅ
ὅ,o̔́,o̔́
ὅͅ,o̔́ͅ,o̔́ͅ
ὁ͂,o̔͂,o̔͂
ὁ͂ͅ,o̔͂ͅ,o̔͂ͅ
υͅ,uͅ,uͅ
ὺ,ù,ù
ὺͅ,ùͅ,ùͅ
ύ,ú,ú
ύͅ,úͅ,úͅ
ῦ,u͂,u͂
ῦͅ,u͂ͅ,u͂ͅ
ὐ,u̓,u̓
ὐͅ,u̓ͅ,u̓ͅ
ὒ,u̓̀,u̓̀
ὒͅ,u̓̀ͅ,u̓̀ͅ
ὔ,u̓́,u̓́
ὔͅ,u̓́ͅ,u̓́ͅ
ὖ,u̓͂,u̓͂
ὖͅ,u̓͂ͅ,u̓͂ͅ
ὑ,u̔,u̔
ὑͅ,u̔ͅ,u̔ͅ
ὓ,u̔̀,u̔̀
ὓͅ,u̔̀ͅ,u̔̀ͅ
ὕ,u̔́,u̔́
ὕͅ,u̔́ͅ,u̔́ͅ
ὗ,u̔͂,u̔͂
ὗͅ,u̔͂ͅ,u̔͂ͅ
ῳ,ōͅ,ōͅ
ὼ,ṑ,ṑ
ῲ,ṑͅ,ṑͅ
ώ,ṓ,ṓ
ῴ,ṓͅ,ṓͅ
ῶ,ō͂,ō͂
ῷ,ō͂ͅ,ō͂ͅ
ὠ,ō̓,ō̓
ᾠ,ō̓ͅ,ō̓ͅ
ὢ,ō̓̀,ō̓̀
ᾢ,ō̓̀ͅ,ō̓̀ͅ
ὤ,ō̓́,ō̓́
ᾤ,ō̓́ͅ,ō̓́ͅ
ὦ,ō̓͂,ō̓͂
ᾦ,ō̓͂ͅ,ō̓͂ͅ
ὡ,ō̔,ō̔
ᾡ,ō̔ͅ,ō̔ͅ
ὣ,ō̔̀,ō̔̀
ᾣ,ō̔̀ͅ,ō̔̀ͅ
ὥ,ō̔́,ō̔́
ᾥ,ō̔́ͅ,ō̔́ͅ
ὧ,ō̔͂,ō̔͂
ᾧ,ō̔͂ͅ,ō̔͂ͅ
α,a,a
ε,e,e
η,ē,ē
ι,i,i
ο,o,o
υ,u,u
ω,ō,ō
Α,A,A
Ε,E,E
Η,Ē,Ē
Ι,I,I
Ο,O,O
Υ,U,U
Ω,Ō,Ō
β,b,b
γ,g,g
δ,d,d
ζ,z,z
θ,th,th
κ,k,k
λ,l,l
μ,m,m
ν,n,n
ξ,x,x
π,p,p
ρ,r,r
σ,s,s
ς,s,s
τ,t,t
φ,ph,ph
χ,kh,kh
ψ,ps,ps
Β,B,B
Γ,G,G
Δ,D,D
Ζ,Z,Z
Θ,Th,Th
Κ,K,K
Λ,L,L
Μ,M,M
Ν,N,N
Ξ,X,X
Π,P,P
Ρ,R,R
Σ,S,S
Τ,T,T
Φ,Ph,Ph
Χ,Kh,Kh
Ψ,Ps,Ps
