Griego,Translit. Antiguo,Translit. Moderno,Griego_NFD
ἑ͂ͅ,e̔͂ͅ,e̔͂ͅ,ἑ͂ͅ
ἶͅ,i̓͂ͅ,i̓͂ͅ,ἶͅ
ᾆ,a̓͂ͅ,a̓͂ͅ,ᾆ
ὗͅ,u̔͂ͅ,u̔͂ͅ,ὗͅ
ἓͅ,e̔̀ͅ,e̔̀ͅ,ἓͅ
ἕͅ,e̔́ͅ,e̔́ͅ,ἕͅ
ᾖ,ē̓͂ͅ,ē̓͂ͅ,ᾖ
ἲͅ,i̓̀ͅ,i̓̀ͅ,ἲͅ
ὖͅ,u̓͂ͅ,u̓͂ͅ,ὖͅ
ὂͅ,o̓̀ͅ,o̓̀ͅ,ὂͅ
ὅͅ,o̔́ͅ,o̔́ͅ,ὅͅ
ὔͅ,u̓́ͅ,u̓́ͅ,ὔͅ
ᾣ,ō̔̀ͅ,ō̔̀ͅ,ᾣ
ᾥ,ō̔́ͅ,ō̔́ͅ,ᾥ
ᾃ,a̔̀ͅ,a̔̀ͅ,ᾃ
ἵͅ,i̔́ͅ,i̔́ͅ,ἵͅ
ὒͅ,u̓̀ͅ,u̓̀ͅ,ὒͅ
ᾢ,ō̓̀ͅ,ō̓̀ͅ,ᾢ
ᾔ,ē̓́ͅ,ē̓́ͅ,ᾔ
ὄͅ,o̓́ͅ,o̓́ͅ,ὄͅ
ὁ͂ͅ,o̔͂ͅ,o̔͂ͅ,ὁ͂ͅ
ᾅ,a̔́ͅ,a̔́ͅ,ᾅ
ἴͅ,i̓́ͅ,i̓́ͅ,ἴͅ
ᾤ,ō̓́ͅ,ō̓́ͅ,ᾤ
ᾂ,a̓̀ͅ,a̓̀ͅ,ᾂ
ᾇ,a̔͂ͅ,a̔͂ͅ,ᾇ
ᾦ,ō̓͂ͅ,ō̓͂ͅ,ᾦ
ᾄ,a̓́ͅ,a̓́ͅ,ᾄ
ὀ͂ͅ,o̓͂ͅ,o̓͂ͅ,ὀ͂ͅ
ᾕ,ē̔́ͅ,ē̔́ͅ,ᾕ
ὓͅ,u̔̀ͅ,u̔̀ͅ,ὓͅ
ᾧ,ō̔͂ͅ,ō̔͂ͅ,ᾧ
ᾗ,ē̔͂ͅ,ē̔͂ͅ,ᾗ
ἒͅ,e̓̀ͅ,e̓̀ͅ,ἒͅ
ᾓ,ē̔̀ͅ,ē̔̀ͅ,ᾓ
ὕͅ,u̔́ͅ,u̔́ͅ,ὕͅ
ἷͅ,i̔͂ͅ,i̔͂ͅ,ἷͅ
ἳͅ,i̔̀ͅ,i̔̀ͅ,ἳͅ
ἔͅ,e̓́ͅ,e̓́ͅ,ἔͅ
ὃͅ,o̔̀ͅ,o̔̀ͅ,ὃͅ
ᾒ,ē̓̀ͅ,ē̓̀ͅ,ᾒ
ἐ͂ͅ,e̓͂ͅ,e̓͂ͅ,ἐ͂ͅ
ᾠ,ō̓ͅ,ō̓ͅ,ᾠ
ᾡ,ō̔ͅ,ō̔ͅ,ᾡ
ἄ,a̓́,a̓́,ἄ
ε͂ͅ,e͂ͅ,e͂ͅ,ε͂ͅ
ὄ,o̓́,o̓́,ὄ
Ἶ,Î,Î,Ἶ
ᾀ,a̓ͅ,a̓ͅ,ᾀ
ἓ,e̔̀,e̔̀,ἓ
ῦͅ,u͂ͅ,u͂ͅ,ῦͅ
ὺͅ,ùͅ,ùͅ,ὺͅ
ᾴ,áͅ,áͅ,ᾴ
ῄ,ḗͅ,ḗͅ,ῄ
ὥ,ō̔́,ō̔́,ὥ
ᾷ,a͂ͅ,a͂ͅ,ᾷ
ὲͅ,èͅ,èͅ,ὲͅ
ῴ,ṓͅ,ṓͅ,ῴ
Ἴ,Í,Í,Ἴ
ᾐ,ē̓ͅ,ē̓ͅ,ᾐ
Ὕ,Ý,Ý,Ὕ
ὅ,o̔́,o̔́,ὅ
Ἤ,Ḗ,Ḗ,Ἤ
ἆ,a̓͂,a̓͂,ἆ
Ἧ,Hê̄,Hê̄,Ἧ
έͅ,éͅ,éͅ,έͅ
ὐͅ,u̓ͅ,u̓ͅ,ὐͅ
Ἄ,Á,Á,Ἄ
ἔ,e̓́,e̓́,ἔ
ἇ,a̔͂,a̔͂,ἇ
ὑͅ,u̔ͅ,u̔ͅ,ὑͅ
ἑͅ,e̔ͅ,e̔ͅ,ἑͅ
ὁ͂,o̔͂,o̔͂,ὁ͂
ἲ,i̓̀,i̓̀,ἲ
Ὓ,Hù,Hù,Ὓ
ἵ,i̔́,i̔́,ἵ
όͅ,óͅ,óͅ,όͅ
ᾲ,àͅ,àͅ,ᾲ
ᾁ,a̔ͅ,a̔ͅ,ᾁ
Ἔ,É,É,Ἔ
ἣ,ē̔̀,ē̔̀,ἣ
ίͅ,íͅ,íͅ,ίͅ
ὁͅ,o̔ͅ,o̔ͅ,ὁͅ
ὶͅ,ìͅ,ìͅ,ὶͅ
ῖͅ,i͂ͅ,i͂ͅ,ῖͅ
Ὅ,Hó,Hó,Ὅ
Ἥ,Hḗ,Hḗ,Ἥ
ῇ,ē͂ͅ,ē͂ͅ,ῇ
ᾑ,ē̔ͅ,ē̔ͅ,ᾑ
ἢ,ē̓̀,ē̓̀,ἢ
ῂ,ḕͅ,ḕͅ,ῂ
Ὄ,Ó,Ó,Ὄ
ἒ,e̓̀,e̓̀,ἒ
Ἆ,Â,Â,Ἆ
ἶ,i̓͂,i̓͂,ἶ
ὦ,ō̓͂,ō̓͂,ὦ
ῷ,ō͂ͅ,ō͂ͅ,ῷ
ἅ,a̔́,a̔́,ἅ
ἴ,i̓́,i̓́,ἴ
ὸͅ,òͅ,òͅ,ὸͅ
Ὧ,Hô,Hô,Ὧ
ἕ,e̔́,e̔́,ἕ
Ἓ,Hè,Hè,Ἓ
ἐͅ,e̓ͅ,e̓ͅ,ἐͅ
Ὤ,Ṓ,Ṓ,Ὤ
ὖ,u̓͂,u̓͂,ὖ
Ἷ,Hî,Hî,Ἷ
Ὥ,Hṓ,Hṓ,Ὥ
ύͅ,úͅ,úͅ,ύͅ
ἂ,a̓̀,a̓̀,ἂ
ὕ,u̔́,u̔́,ὕ
ἰͅ,i̓ͅ,i̓ͅ,ἰͅ
ὓ,u̔̀,u̔̀,ὓ
ὗ,u̔͂,u̔͂,ὗ
ἥ,ē̔́,ē̔́,ἥ
ἳ,i̔̀,i̔̀,ἳ
Ἦ,Ê̄,Ê̄,Ἦ
ἐ͂,e̓͂,e̓͂,ἐ͂
ὃ,o̔̀,o̔̀,ὃ
ὧ,ō̔͂,ō̔͂,ὧ
ὤ,ō̓́,ō̓́,ὤ
Ἕ,Hé,Hé,Ἕ
ἧ,ē̔͂,ē̔͂,ἧ
Ἇ,Hâ,Hâ,Ἇ
ὀ͂,o̓͂,o̓͂,ὀ͂
Ἒ,È,È,Ἒ
Ὗ,Hû,Hû,Ὗ
ῲ,ṑͅ,ṑͅ,ῲ
Ὦ,Ô,Ô,Ὦ
ἃ,a̔̀,a̔̀,ἃ
ὢ,ō̓̀,ō̓̀,ὢ
ὔ,u̓́,u̓́,ὔ
ὂ,o̓̀,o̓̀,ὂ
ὀͅ,o̓ͅ,o̓ͅ,ὀͅ
ἷ,i̔͂,i̔͂,ἷ
ἦ,ē̓͂,ē̓͂,ἦ
Ἅ,Há,Há,Ἅ
ὒ,u̓̀,u̓̀,ὒ
ἑ͂,e̔͂,e̔͂,ἑ͂
ἱͅ,i̔ͅ,i̔ͅ,ἱͅ
ο͂ͅ,o͂ͅ,o͂ͅ,ο͂ͅ
ὣ,ō̔̀,ō̔̀,ὣ
ἤ,ē̓́,ē̓́,ἤ
Ἵ,Hí,Hí,Ἵ
Ἱ,Hi,Hi,Ἱ
Ὠ,Ō,Ō,Ὠ
ἱ,i̔,i̔,ἱ
ί,í,í,ί
ὴ,ḕ,ḕ,ὴ
Ἡ,Hē,Hē,Ἡ
Ἀ,A,A,Ἀ
ό,ó,ó,ό
ῳ,ōͅ,ōͅ,ῳ
Ἰ,I,I,Ἰ
ὡ,ō̔,ō̔,ὡ
ῃ,ēͅ,ēͅ,ῃ
υͅ,uͅ,uͅ,υͅ
ο͂,o͂,o͂,ο͂
ἰ,i̓,i̓,ἰ
ὸ,ò,ò,ὸ
Ὁ,Ho,Ho,Ὁ
ῶ,ō͂,ō͂,ῶ
ιͅ,iͅ,iͅ,ιͅ
ύ,ú,ú,ύ
᾽Ρ,Rh,Rh,᾽Ρ
ῆ,ē͂,ē͂,ῆ
ἠ,ē̓,ē̓,ἠ
ὑ,u̔,u̔,ὑ
Ἑ,He,He,Ἑ
ὺ,ù,ù,ὺ
εͅ,eͅ,eͅ,εͅ
Ἁ,Ha,Ha,Ἁ
Ὀ,O,O,Ὀ
ᾶ,a͂,a͂,ᾶ
Ἠ,Ē,Ē,Ἠ
ὐ,u̓,u̓,ὐ
ή,ḗ,ḗ,ή
ὶ,ì,ì,ὶ
ε͂,e͂,e͂,ε͂
ἁ,a̔,a̔,ἁ
ᾳ,aͅ,aͅ,ᾳ
έ,é,é,έ
οͅ,oͅ,oͅ,οͅ
ῥ,rh,rh,ῥ
Ὡ,Hō,Hō,Ὡ
ὀ,o̓,o̓,ὀ
Ῥ,Rh,Rh,Ῥ
ῦ,u͂,u͂,ῦ
Ἐ,E,E,Ἐ
ἀ,a̓,a̓,ἀ
ὼ,ṑ,ṑ,ὼ
ἐ,e̓,e̓,ἐ
ἡ,ē̔,ē̔,ἡ
ὰ,à,à,ὰ
ὠ,ō̓,ō̓,ὠ
ἑ,e̔,e̔,ἑ
ῖ,i͂,i͂,ῖ
ῤ,r,r,ῤ
ὲ,è,è,ὲ
ώ,ṓ,ṓ,ώ
ὁ,o̔,o̔,ὁ
ά,á,á,ά
μ,m,m,μ
Λ,L,L,Λ
ρ,r,r,ρ
ψ,ps,ps,ψ
Δ,D,D,Δ
ω,ō,ō,ω
Ρ,R,R,Ρ
χ,kh,kh,χ
Μ,M,M,Μ
Ω,Ō,Ō,Ω
Υ,U,U,Υ
Ψ,Ps,Ps,Ψ
Ν,N,N,Ν
θ,th,th,θ
Α,A,A,Α
Τ,T,T,Τ
Σ,S,S,Σ
α,a,a,α
Ε,E,E,Ε
ο,o,o,ο
κ,k,k,κ
Χ,Kh,Kh,Χ
Ζ,Z,Z,Ζ
ζ,z,z,ζ
ε,e,e,ε
Ο,O,O,Ο
δ,d,d,δ
ξ,x,x,ξ
σ,s,s,σ
λ,l,l,λ
Θ,Th,Th,Θ
ι,i,i,ι
τ,t,t,τ
υ,u,u,υ
Π,P,P,Π
Κ,K,K,Κ
ν,n,n,ν
Ξ,X,X,Ξ
Η,Ē,Ē,Η
Β,B,B,Β
γ,g,g,γ
β,b,b,β
π,p,p,π
Φ,Ph,Ph,Φ
Ι,I,I,Ι
η,ē,ē,η
Γ,G,G,Γ
φ,ph,ph,φ
ς,s,s,ς
