Griego,Translit. Antiguo,Translit. Moderno
ἑ͂ͅ,e̔͂ͅ,e̔͂ͅ
ἶͅ,i̓͂ͅ,i̓͂ͅ
ᾆ,a̓͂ͅ,a̓͂ͅ
ὗͅ,u̔͂ͅ,u̔͂ͅ
ἓͅ,e̔̀ͅ,e̔̀ͅ
ἕͅ,e̔́ͅ,e̔́ͅ
ᾖ,ē̓͂ͅ,ē̓͂ͅ
ἲͅ,i̓̀ͅ,i̓̀ͅ
ὖͅ,u̓͂ͅ,u̓͂ͅ
ὂͅ,o̓̀ͅ,o̓̀ͅ
ὅͅ,o̔́ͅ,o̔́ͅ
ὔͅ,u̓́ͅ,u̓́ͅ
ᾣ,ō̔̀ͅ,ō̔̀ͅ
ᾥ,ō̔́ͅ,ō̔́ͅ
ᾃ,a̔̀ͅ,a̔̀ͅ
ἵͅ,i̔́ͅ,i̔́ͅ
ὒͅ,u̓̀ͅ,u̓̀ͅ
ᾢ,ō̓̀ͅ,ō̓̀ͅ
ᾔ,ē̓́ͅ,ē̓́ͅ
ὄͅ,o̓́ͅ,o̓́ͅ
ὁ͂ͅ,o̔͂ͅ,o̔͂ͅ
ᾅ,a̔́ͅ,a̔́ͅ
ἴͅ,i̓́ͅ,i̓́ͅ
ᾤ,ō̓́ͅ,ō̓́ͅ
ᾂ,a̓̀ͅ,a̓̀ͅ
ᾇ,a̔͂ͅ,a̔͂ͅ
ᾦ,ō̓͂ͅ,ō̓͂ͅ
ᾄ,a̓́ͅ,a̓́ͅ
ὀ͂ͅ,o̓͂ͅ,o̓͂ͅ
ᾕ,ē̔́ͅ,ē̔́ͅ
ὓͅ,u̔̀ͅ,u̔̀ͅ
ᾧ,ō̔͂ͅ,ō̔͂ͅ
ᾗ,ē̔͂ͅ,ē̔͂ͅ
ἒͅ,e̓̀ͅ,e̓̀ͅ
ᾓ,ē̔̀ͅ,ē̔̀ͅ
ὕͅ,u̔́ͅ,u̔́ͅ
ἷͅ,i̔͂ͅ,i̔͂ͅ
ἳͅ,i̔̀ͅ,i̔̀ͅ
ἔͅ,e̓́ͅ,e̓́ͅ
ὃͅ,o̔̀ͅ,o̔̀ͅ
ᾒ,ē̓̀ͅ,ē̓̀ͅ
ἐ͂ͅ,e̓͂ͅ,e̓͂ͅ
ᾠ,ō̓ͅ,ō̓ͅ
ᾡ,ō̔ͅ,ō̔ͅ
ἄ,a̓́,a̓́
ε͂ͅ,e͂ͅ,e͂ͅ
ὄ,o̓́,o̓́
Ἶ,Î,Î
ᾀ,a̓ͅ,a̓ͅ
ἓ,e̔̀,e̔̀
ῦͅ,u͂ͅ,u͂ͅ
ὺͅ,ùͅ,ùͅ
ᾴ,áͅ,áͅ
ῄ,ḗͅ,ḗͅ
ὥ,ō̔́,ō̔́
ᾷ,a͂ͅ,a͂ͅ
ὲͅ,èͅ,èͅ
ῴ,ṓͅ,ṓͅ
Ἴ,Í,Í
ᾐ,ē̓ͅ,ē̓ͅ
Ὕ,Ý,Ý
ὅ,o̔́,o̔́
Ἤ,Ḗ,Ḗ
ἆ,a̓͂,a̓͂
ἑ͂ͅ,e̔͂ͅ,e̔͂ͅ
Ἧ,Hê̄,Hê̄
έͅ,éͅ,éͅ
ὐͅ,u̓ͅ,u̓ͅ
Ἄ,Á,Á
ἔ,e̓́,e̓́
ἇ,a̔͂,a̔͂
ὑͅ,u̔ͅ,u̔ͅ
ἑͅ,e̔ͅ,e̔ͅ
ὁ͂,o̔͂,o̔͂
ἲ,i̓̀,i̓̀
Ὓ,Hù,Hù
ἵ,i̔́,i̔́
όͅ,óͅ,óͅ
ᾲ,àͅ,àͅ
ᾁ,a̔ͅ,a̔ͅ
Ἔ,É,É
ἣ,ē̔̀,ē̔̀
ίͅ,íͅ,íͅ
ὁͅ,o̔ͅ,o̔ͅ
ὶͅ,ìͅ,ìͅ
ῖͅ,i͂ͅ,i͂ͅ
Ὅ,Hó,Hó
Ἥ,Hḗ,Hḗ
ὀ͂ͅ,o̓͂ͅ,o̓͂ͅ
ῇ,ē͂ͅ,ē͂ͅ
ᾑ,ē̔ͅ,ē̔ͅ
ἐ͂ͅ,e̓͂ͅ,e̓͂ͅ
ἢ,ē̓̀,ē̓̀
ῂ,ḕͅ,ḕͅ
Ὄ,Ó,Ó
ἒ,e̓̀,e̓̀
ὁ͂ͅ,o̔͂ͅ,o̔͂ͅ
Ἆ,Â,Â
ἶ,i̓͂,i̓͂
ὦ,ō̓͂,ō̓͂
ῷ,ō͂ͅ,ō͂ͅ
ἅ,a̔́,a̔́
ἴ,i̓́,i̓́
ὸͅ,òͅ,òͅ
Ὧ,Hô,Hô
ἕ,e̔́,e̔́
Ἓ,Hè,Hè
ἐͅ,e̓ͅ,e̓ͅ
Ὤ,Ṓ,Ṓ
ὖ,u̓͂,u̓͂
Ἷ,Hî,Hî
Ὥ,Hṓ,Hṓ
ύͅ,úͅ,úͅ
ἂ,a̓̀,a̓̀
ὕ,u̔́,u̔́
ἰͅ,i̓ͅ,i̓ͅ
ὓ,u̔̀,u̔̀
ὗ,u̔͂,u̔͂
ἥ,ē̔́,ē̔́
ἳ,i̔̀,i̔̀
Ἦ,Ê̄,Ê̄
ἐ͂,e̓͂,e̓͂
ὃ,o̔̀,o̔̀
ὧ,ō̔͂,ō̔͂
ὤ,ō̓́,ō̓́
Ἕ,Hé,Hé
ἧ,ē̔͂,ē̔͂
Ἇ,Hâ,Hâ
ὀ͂,o̓͂,o̓͂
Ἒ,È,È
Ὗ,Hû,Hû
ῲ,ṑͅ,ṑͅ
Ὦ,Ô,Ô
ἃ,a̔̀,a̔̀
ὢ,ō̓̀,ō̓̀
ὔ,u̓́,u̓́
ὂ,o̓̀,o̓̀
ὀͅ,o̓ͅ,o̓ͅ
ἷ,i̔͂,i̔͂
ἦ,ē̓͂,ē̓͂
Ἅ,Há,Há
ὒ,u̓̀,u̓̀
ἑ͂,e̔͂,e̔͂
ἱͅ,i̔ͅ,i̔ͅ
ο͂ͅ,o͂ͅ,o͂ͅ
ὣ,ō̔̀,ō̔̀
ἤ,ē̓́,ē̓́
Ἵ,Hí,Hí
Ἱ,Hi,Hi
ὔͅ,u̓́ͅ,u̓́ͅ
Ὠ,Ō,Ō
ἱ,i̔,i̔
ί,í,í
ὴ,ḕ,ḕ
ἐͅ,e̓ͅ,e̓ͅ
ὐͅ,u̓ͅ,u̓ͅ
ἰͅ,i̓ͅ,i̓ͅ
Ἡ,Hē,Hē
ῦͅ,u͂ͅ,u͂ͅ
Ἀ,A,A
ὶͅ,ìͅ,ìͅ
ό,ó,ó
ὁͅ,o̔ͅ,o̔ͅ
ῳ,ōͅ,ōͅ
Ἰ,I,I
ἕͅ,e̔́ͅ,e̔́ͅ
ὡ,ō̔,ō̔
ῃ,ēͅ,ēͅ
υͅ,uͅ,uͅ
ἑͅ,e̔ͅ,e̔ͅ
ἲͅ,i̓̀ͅ,i̓̀ͅ
ο͂,o͂,o͂
ἰ,i̓,i̓
ἑ͂,e̔͂,e̔͂
ὸ,ò,ò
ἴͅ,i̓́ͅ,i̓́ͅ
ἒͅ,e̓̀ͅ,e̓̀ͅ
ὑͅ,u̔ͅ,u̔ͅ
Ὁ,Ho,Ho
ἳͅ,i̔̀ͅ,i̔̀ͅ
ῶ,ō͂,ō͂
ιͅ,iͅ,iͅ
ὂͅ,o̓̀ͅ,o̓̀ͅ
ύ,ú,ú
έͅ,éͅ,éͅ
᾽Ρ,Rh,Rh
ῆ,ē͂,ē͂
ἠ,ē̓,ē̓
ὑ,u̔,u̔
ὁ͂,o̔͂,o̔͂
ἐ͂,e̓͂,e̓͂
Ἑ,He,He
όͅ,óͅ,óͅ
ὺ,ù,ù
εͅ,eͅ,eͅ
Ἁ,Ha,Ha
Ὀ,O,O
ὖͅ,u̓͂ͅ,u̓͂ͅ
ᾶ,a͂,a͂
Ἠ,Ē,Ē
ὀͅ,o̓ͅ,o̓ͅ
ὐ,u̓,u̓
ῖͅ,i͂ͅ,i͂ͅ
ὄͅ,o̓́ͅ,o̓́ͅ
ὗͅ,u̔͂ͅ,u̔͂ͅ
ἷͅ,i̔͂ͅ,i̔͂ͅ
ὀ͂,o̓͂,o̓͂
ὺͅ,ùͅ,ùͅ
ή,ḗ,ḗ
ὶ,ì,ì
ε͂,e͂,e͂
ἵͅ,i̔́ͅ,i̔́ͅ
ἁ,a̔,a̔
ᾳ,aͅ,aͅ
ὅͅ,o̔́ͅ,o̔́ͅ
έ,é,é
οͅ,oͅ,oͅ
ῥ,rh,rh
Ὡ,Hō,Hō
ὀ,o̓,o̓
ὒͅ,u̓̀ͅ,u̓̀ͅ
ἓͅ,e̔̀ͅ,e̔̀ͅ
Ῥ,Rh,Rh
ῦ,u͂,u͂
Ἐ,E,E
ίͅ,íͅ,íͅ
ἀ,a̓,a̓
ὼ,ṑ,ṑ
ύͅ,úͅ,úͅ
ὲͅ,èͅ,èͅ
ὸͅ,òͅ,òͅ
ἐ,e̓,e̓
ἡ,ē̔,ē̔
ἔͅ,e̓́ͅ,e̓́ͅ
ὰ,à,à
ὠ,ō̓,ō̓
ὓͅ,u̔̀ͅ,u̔̀ͅ
ἑ,e̔,e̔
ῖ,i͂,i͂
ῤ,r,r
ὲ,è,è
ώ,ṓ,ṓ
ἶͅ,i̓͂ͅ,i̓͂ͅ
ἱͅ,i̔ͅ,i̔ͅ
ὁ,o̔,o̔
ά,á,á
ὃͅ,o̔̀ͅ,o̔̀ͅ
ὕͅ,u̔́ͅ,u̔́ͅ
μ,m,m
ἳ,i̔̀,i̔̀
ᾡ,ō̔ͅ,ō̔ͅ
Λ,L,L
ᾀ,a̓ͅ,a̓ͅ
ὕ,u̔́,u̔́
ί,í,í
ὥ,ō̔́,ō̔́
ᾒ,ē̓̀ͅ,ē̓̀ͅ
Ὦ,Ô,Ô
ᾠ,ō̓ͅ,ō̓ͅ
ῦ,u͂,u͂
ρ,r,r
ἴ,i̓́,i̓́
ᾤ,ō̓́ͅ,ō̓́ͅ
ψ,ps,ps
ᾃ,a̔̀ͅ,a̔̀ͅ
