Base,Diacríticos,Forma descompuesta,Forma precompuesta,Unicode precompuesta
α,U+0313,ἀ,ἀ,U+1F00
α,U+0314,ἁ,ἁ,U+1F01
α,U+0301,ά,ά,U+03AC
α,U+0342,ᾶ,ᾶ,U+1FB6
α,U+0300,ὰ,ὰ,U+1F70
α,U+0345,ᾳ,ᾳ,U+1FB3
α,U+0313U+0313,ἀ̓,ἀ̓,U+1F00 U+0313
α,U+0313U+0314,ἀ̔,ἀ̔,U+1F00 U+0314
α,U+0313U+0301,ἄ,ἄ,U+1F04
α,U+0313U+0342,ἆ,ἆ,U+1F06
α,U+0313U+0300,ἂ,ἂ,U+1F02
α,U+0313U+0345,ᾀ,ᾀ,U+1F80
α,U+0314U+0314,ἁ̔,ἁ̔,U+1F01 U+0314
α,U+0314U+0301,ἅ,ἅ,U+1F05
α,U+0314U+0342,ἇ,ἇ,U+1F07
α,U+0314U+0300,ἃ,ἃ,U+1F03
α,U+0314U+0345,ᾁ,ᾁ,U+1F81
α,U+0301U+0301,ά́,ά́,U+03AC U+0301
α,U+0301U+0342,ά͂,ά͂,U+03AC U+0342
α,U+0301U+0300,ά̀,ά̀,U+03AC U+0300
α,U+0301U+0345,ᾴ,ᾴ,U+1FB4
α,U+0342U+0342,ᾶ͂,ᾶ͂,U+1FB6 U+0342
α,U+0342U+0300,ᾶ̀,ᾶ̀,U+1FB6 U+0300
α,U+0342U+0345,ᾷ,ᾷ,U+1FB7
α,U+0300U+0300,ὰ̀,ὰ̀,U+1F70 U+0300
α,U+0300U+0345,ᾲ,ᾲ,U+1FB2
α,U+0345U+0345,ᾳͅ,ᾳͅ,U+1FB3 U+0345
α,U+0313U+0313U+0313,ἀ̓̓,ἀ̓̓,U+1F00 U+0313 U+0313
α,U+0313U+0313U+0314,ἀ̓̔,ἀ̓̔,U+1F00 U+0313 U+0314
α,U+0313U+0313U+0301,ἀ̓́,ἀ̓́,U+1F00 U+0313 U+0301
α,U+0313U+0313U+0342,ἀ̓͂,ἀ̓͂,U+1F00 U+0313 U+0342
α,U+0313U+0313U+0300,ἀ̓̀,ἀ̓̀,U+1F00 U+0313 U+0300
α,U+0313U+0313U+0345,ᾀ̓,ᾀ̓,U+1F80 U+0313
α,U+0313U+0314U+0314,ἀ̔̔,ἀ̔̔,U+1F00 U+0314 U+0314
α,U+0313U+0314U+0301,ἀ̔́,ἀ̔́,U+1F00 U+0314 U+0301
α,U+0313U+0314U+0342,ἀ̔͂,ἀ̔͂,U+1F00 U+0314 U+0342
α,U+0313U+0314U+0300,ἀ̔̀,ἀ̔̀,U+1F00 U+0314 U+0300
α,U+0313U+0314U+0345,ᾀ̔,ᾀ̔,U+1F80 U+0314
α,U+0313U+0301U+0301,ἄ́,ἄ́,U+1F04 U+0301
α,U+0313U+0301U+0342,ἄ͂,ἄ͂,U+1F04 U+0342
α,U+0313U+0301U+0300,ἄ̀,ἄ̀,U+1F04 U+0300
α,U+0313U+0301U+0345,ᾄ,ᾄ,U+1F84
α,U+0313U+0342U+0342,ἆ͂,ἆ͂,U+1F06 U+0342
α,U+0313U+0342U+0300,ἆ̀,ἆ̀,U+1F06 U+0300
α,U+0313U+0342U+0345,ᾆ,ᾆ,U+1F86
α,U+0313U+0300U+0300,ἂ̀,ἂ̀,U+1F02 U+0300
α,U+0313U+0300U+0345,ᾂ,ᾂ,U+1F82
α,U+0313U+0345U+0345,ᾀͅ,ᾀͅ,U+1F80 U+0345
α,U+0314U+0314U+0314,ἁ̔̔,ἁ̔̔,U+1F01 U+0314 U+0314
α,U+0314U+0314U+0301,ἁ̔́,ἁ̔́,U+1F01 U+0314 U+0301
α,U+0314U+0314U+0342,ἁ̔͂,ἁ̔͂,U+1F01 U+0314 U+0342
α,U+0314U+0314U+0300,ἁ̔̀,ἁ̔̀,U+1F01 U+0314 U+0300
α,U+0314U+0314U+0345,ᾁ̔,ᾁ̔,U+1F81 U+0314
α,U+0314U+0301U+0301,ἅ́,ἅ́,U+1F05 U+0301
